,case,choice,cost,ivt,ovt,freq
76,203,0,148.75,56,122,9
77,203,1,82.27,314,0,0
78,204,0,70.85,237,114,4
79,204,0,150.2,56,124,9
80,204,1,90.44,313,0,0
81,206,0,83.65,391,74,3
82,206,0,178.5,161,99,6
83,206,1,115.52,402,0,0
84,207,1,88.75,430,64,3
85,207,0,175.65,161,67,6
86,207,0,112.48,373,0,0
87,209,0,88.75,430,64,3
88,209,1,175.65,161,67,6
89,209,0,112.48,373,0,0
90,210,0,106.65,573,84,2
91,210,0,207.8,181,84,9
92,210,1,140.03,493,0,0
93,211,1,104.65,573,73,2
94,211,0,204.4,181,79,9
95,211,0,146.49,500,0,0
96,213,0,104.65,573,73,2
97,213,1,204.4,181,79,9
98,213,0,146.49,500,0,0
99,221,0,107.35,580,74,2
100,221,1,226.15,170,80,9
101,221,0,169.67,562,0,0
102,222,1,109.8,599,74,2
103,222,0,228.9,170,84,9
104,222,0,167.77,549,0,0
105,224,0,109.8,599,74,2
106,224,1,228.9,170,84,9
107,224,0,167.77,549,0,0
108,229,0,44.15,117,85,4
109,229,0,22.72,149,105,8
110,229,1,34.58,131,0,0
111,230,0,67.4,209,105,4
112,230,0,163.6,56,145,9
113,230,1,61.37,220,0,0
114,231,0,44.4,117,95,4
115,231,0,22.72,149,79,8
116,231,1,32.3,123,0,0
117,232,0,40.9,117,75,4
118,232,0,22.22,149,74,8
119,232,1,31.54,126,0,0
120,237,0,41.4,117,79,4
121,237,0,22.72,149,79,8
122,237,1,31.54,126,0,0
123,239,0,47.4,260,75,2
124,239,0,163.3,56,135,9
125,239,1,48.83,173,0,0
126,240,0,48.4,260,77,2
127,240,0,158.3,56,140,9
128,240,1,49.59,178,0,0
129,241,0,58.0,215,74,4
130,241,0,150.3,56,100,9
131,241,1,56.05,208,0,0
132,242,0,59.5,215,90,4
133,242,0,150.3,56,106,9
134,242,1,56.62,210,0,0
135,253,0,79.2,391,75,3
136,253,0,182.6,161,105,6
137,253,1,96.33,330,0,0
138,254,0,103.6,547,70,2
139,254,1,219.9,181,135,9
140,254,0,141.55,473,0,0
141,256,1,105.4,573,84,2
142,256,0,208.5,181,85,9
143,256,0,142.31,494,0,0
144,257,0,107.1,573,85,2
145,257,1,209.9,181,85,9
146,257,0,144.21,507,0,0
147,258,0,45.15,117,95,4
148,258,0,22.92,149,116,8
149,258,1,22.99,86,0,0
150,260,0,68.4,209,115,4
151,260,0,163.6,56,165,9
152,260,1,49.78,175,0,0
153,261,1,41.9,117,85,4
154,261,0,22.42,149,85,8
155,261,0,19.95,80,0,0
156,263,0,41.9,117,85,4
157,263,0,22.42,149,85,8
158,263,1,19.95,80,0,0
159,265,0,42.4,117,89,4
160,265,0,22.92,149,90,8
161,265,1,19.95,80,0,0
162,267,0,48.4,260,85,2
163,267,0,163.3,56,155,9
164,267,1,37.24,128,0,0
165,270,0,57.4,209,90,4
166,270,0,153.65,56,130,9
167,270,1,41.23,149,0,0
168,278,1,75.6,237,170,4
169,278,0,168.3,56,175,9
170,278,0,75.24,269,0,0
171,283,0,41.8,210,70,2
172,283,0,157.8,50,145,4
173,283,1,41.42,146,0,0
174,284,0,48.2,165,69,4
175,284,0,144.8,50,110,4
176,284,1,48.64,182,0,0
177,288,0,41.7,124,105,2
178,288,0,156.5,50,140,4
179,288,1,37.62,135,0,0
180,289,0,53.5,159,100,1
181,289,0,149.9,50,118,4
182,289,1,65.93,234,0,0
183,316,0,37.7,124,70,2
184,316,0,150.5,50,130,4
185,316,1,33.06,116,0,0
186,318,0,37.7,149,70,3
187,318,0,151.5,50,120,4
188,318,1,37.05,128,0,0
189,320,0,47.5,159,80,1
190,320,0,138.5,50,114,4
191,320,1,39.33,143,0,0
192,321,0,42.5,159,75,1
193,321,0,141.85,50,95,4
194,321,1,41.04,149,0,0
195,322,0,44.1,165,69,1
196,322,0,138.5,50,85,4
197,322,1,44.27,163,0,0
198,345,1,50.6,196,100,4
199,345,0,146.5,50,125,4
200,345,0,60.99,211,0,0
201,346,0,50.6,196,100,4
202,346,0,146.5,50,125,4
203,346,1,60.99,211,0,0
204,347,0,51.1,205,100,3
205,347,0,141.05,50,113,4
206,347,1,59.47,255,0,0
207,348,0,97.1,576,115,2
208,348,1,219.1,149,120,4
209,348,0,129.77,428,0,0
210,350,0,93.1,576,79,2
211,350,1,207.7,149,70,4
212,350,0,130.53,449,0,0
213,351,0,111.9,570,110,3
214,351,1,232.48,149,100,4
215,351,0,165.68,568,0,0
216,352,0,109.35,570,85,3
217,352,1,224.48,149,82,4
218,352,0,153.71,512,0,0
219,353,0,107.9,570,90,3
220,353,1,224.48,149,82,4
221,353,0,153.71,512,0,0
222,355,0,102.45,570,80,3
223,355,1,222.48,149,75,4
224,355,0,151.81,498,0,0
225,358,0,45.4,170,80,3
226,358,0,155.5,50,130,4
227,358,1,39.33,152,0,0
228,359,0,51.0,159,95,1
229,359,0,144.8,50,129,4
230,359,1,38.38,145,0,0
231,362,0,100.6,576,130,2
232,362,0,225.4,149,145,4
233,362,1,110.58,372,0,0
234,363,1,96.6,576,94,2
235,363,0,214.0,149,85,4
236,363,0,129.58,451,0,0
237,365,0,43.75,92,100,5
238,365,0,140.8,40,143,25
239,365,1,40.66,187,0,0
240,367,0,30.75,82,83,4
241,367,0,142.4,40,155,25
242,367,1,26.79,101,0,0
243,368,0,32.15,103,65,4
244,368,1,140.1,40,140,25
245,368,0,27.74,113,0,0
246,383,0,78.55,356,65,4
247,383,0,183.6,96,155,5
248,383,1,98.99,333,0,0
249,390,0,92.65,458,80,4
250,390,0,198.35,139,96,25
251,390,1,141.17,475,0,0
252,391,0,94.55,477,75,4
253,391,1,201.75,139,103,25
254,391,0,140.22,469,0,0
255,392,0,33.0,57,115,8
256,392,0,147.4,40,150,25
257,392,1,22.8,91,0,0
258,393,0,29.5,57,95,8
259,393,0,140.9,40,145,25
260,393,1,22.04,94,0,0
261,400,0,29.75,63,100,8
262,400,0,43.27,100,105,6
263,400,1,22.8,95,0,0
264,404,0,61.9,256,95,5
265,404,0,161.45,60,138,6
266,404,1,68.02,237,0,0
267,406,0,82.6,377,140,2
268,406,0,175.5,58,175,36
269,406,1,110.58,383,0,0
270,408,0,87.1,406,105,3
271,408,1,192.15,69,151,45
272,408,0,125.21,426,0,0
273,409,0,95.0,425,150,3
274,409,1,204.9,69,205,45
275,409,0,138.13,460,0,0
276,412,0,38.4,40,114,8
277,412,0,15.09,84,65,16
278,412,1,20.52,91,0,0
279,413,0,43.4,40,120,8
280,413,0,14.24,84,60,16
281,413,1,22.42,80,0,0
282,414,0,35.4,40,135,8
283,414,0,14.24,84,95,16
284,414,1,25.65,95,0,0
285,415,0,31.55,40,90,8
286,415,0,14.91,84,70,16
287,415,1,16.15,61,0,0
288,416,0,33.9,40,115,8
289,416,0,14.84,84,85,16
290,416,1,17.67,72,0,0
291,417,0,34.4,40,129,8
292,417,0,14.24,84,90,16
293,417,1,20.52,91,0,0
294,418,0,84.4,367,130,3
295,418,1,165.5,58,150,36
296,418,0,103.93,349,0,0
297,438,0,40.4,40,119,8
298,438,0,14.09,84,60,16
299,438,1,26.6,110,0,0
300,443,0,45.4,40,125,8
301,443,0,13.24,84,55,16
302,443,1,28.5,99,0,0
303,444,0,37.4,40,140,8
304,444,0,13.24,84,90,16
305,444,1,31.73,113,0,0
306,445,0,35.4,40,120,8
307,445,0,14.39,84,80,16
308,445,1,24.32,94,0,0
309,450,0,33.55,40,95,8
310,450,0,13.91,84,65,16
311,450,1,22.23,79,0,0
312,454,0,34.9,40,110,8
313,454,0,15.09,84,80,16
314,454,1,23.56,88,0,0
315,455,0,35.9,40,120,8
316,455,0,13.84,84,80,16
317,455,1,23.75,90,0,0
318,461,0,36.4,40,134,8
319,461,0,13.24,84,85,16
320,461,1,26.6,110,0,0
321,462,0,37.4,40,138,8
322,462,0,18.24,84,90,16
323,462,1,27.17,113,0,0
324,463,0,37.4,40,150,8
325,463,0,13.24,84,110,16
326,463,1,32.68,124,0,0
327,464,1,65.7,233,90,4
328,464,0,156.75,60,128,6
329,464,0,67.45,221,0,0
330,465,1,80.6,356,85,2
331,465,0,178.2,58,190,36
332,465,0,100.7,327,0,0
333,467,0,82.4,367,99,3
334,467,1,166.8,58,140,36
335,467,0,101.46,348,0,0
336,470,0,84.1,367,100,3
337,470,1,168.2,58,140,36
338,470,0,103.36,361,0,0
339,471,0,85.1,375,100,3
340,471,1,187.45,69,141,45
341,471,0,124.64,410,0,0
342,473,0,87.55,394,100,3
343,473,1,190.2,69,145,45
344,473,0,122.74,397,0,0
345,474,0,85.0,394,87,3
346,474,1,196.75,69,145,45
347,474,0,123.69,404,0,0
348,489,0,37.1,40,100,8
349,489,0,14.91,84,70,16
350,489,1,25.46,94,0,0
351,493,0,39.45,40,125,8
352,493,0,14.84,84,85,16
353,493,1,26.98,105,0,0
354,497,0,88.65,375,105,3
355,497,1,187.15,69,143,45
356,497,0,127.87,425,0,0
357,507,0,42.4,40,129,8
358,507,0,15.3,100,60,17
359,507,1,30.21,121,0,0
360,512,0,47.4,40,135,8
361,512,0,14.45,100,55,17
362,512,1,32.11,110,0,0
363,514,0,39.4,40,150,8
364,514,0,14.45,100,90,17
365,514,1,35.34,124,0,0
366,515,0,37.4,40,130,8
367,515,0,15.6,100,80,17
368,515,1,27.93,105,0,0
369,517,0,35.55,40,105,8
370,517,0,15.12,100,65,17
371,517,1,25.84,90,0,0
372,523,0,37.4,40,106,8
373,523,0,14.45,100,70,17
374,523,1,26.79,97,0,0
375,525,0,36.9,40,120,8
376,525,0,16.3,100,80,17
377,525,1,27.17,99,0,0
378,526,0,37.9,40,130,8
379,526,0,15.05,100,80,17
380,526,1,27.36,101,0,0
381,527,0,39.4,40,148,8
382,527,0,19.45,100,90,17
383,527,1,30.78,124,0,0
384,528,0,38.4,40,130,8
385,528,0,14.45,100,80,17
386,528,1,30.78,124,0,0
387,530,0,72.2,233,120,4
388,530,0,174.3,60,165,6
389,530,1,59.09,195,0,0
390,535,0,87.1,375,110,3
391,535,1,202.15,69,146,45
392,535,0,128.25,421,0,0
393,537,0,40.5,92,90,5
394,537,0,134.3,40,123,25
395,537,1,50.35,193,0,0
396,540,0,45.0,92,120,5
397,540,0,140.8,40,163,25
398,540,1,49.78,194,0,0
399,570,0,35.4,103,90,4
400,570,0,142.4,40,140,25
401,570,1,29.45,116,0,0
402,577,0,92.9,458,90,4
403,577,1,198.35,139,81,25
404,577,0,138.89,468,0,0
405,578,1,115.75,675,75,2
406,578,0,238.03,169,73,4
407,578,0,178.41,588,0,0
408,583,0,25.5,57,60,8
409,583,0,134.9,40,135,25
410,583,1,17.48,74,0,0
411,585,0,27.5,57,60,8
412,585,0,135.9,40,135,25
413,585,1,19.19,82,0,0
414,586,1,25.5,82,60,4
415,586,0,135.9,40,125,25
416,586,0,21.47,86,0,0
417,588,0,25.5,82,60,4
418,588,0,135.9,40,125,25
419,588,1,21.47,86,0,0
420,601,0,26.5,82,62,4
421,601,0,130.9,40,130,25
422,601,1,22.23,91,0,0
423,604,0,27.5,82,73,4
424,604,0,135.9,40,135,25
425,604,1,23.75,96,0,0
426,609,1,28.9,103,55,4
427,609,0,133.6,40,120,25
428,609,0,24.7,108,0,0
429,610,0,28.9,103,55,4
430,610,0,133.6,40,120,25
431,610,1,24.7,108,0,0
432,639,0,32.6,98,75,8
433,639,1,122.9,40,96,25
434,639,0,29.26,123,0,0
435,820,1,46.1,196,58,4
436,820,0,126.9,40,115,25
437,820,0,43.7,164,0,0
438,821,0,46.1,196,58,4
439,821,0,126.9,40,115,25
440,821,1,43.7,164,0,0
441,824,0,47.6,196,75,4
442,824,0,126.9,40,115,25
443,824,1,52.44,203,0,0
444,832,1,49.1,259,55,3
445,832,0,135.9,40,135,25
446,832,0,56.24,203,0,0
447,833,0,49.1,259,55,3
448,833,0,135.9,40,135,25
449,833,1,56.24,203,0,0
450,834,0,53.5,120,145,12
451,834,0,140.9,40,145,25
452,834,1,59.47,227,0,0
453,835,1,61.9,267,75,3
454,835,0,159.6,145,105,6
455,835,0,66.12,234,0,0
456,836,1,59.7,267,60,3
457,836,0,159.6,145,95,6
458,836,0,68.97,243,0,0
459,841,0,59.7,267,60,3
460,841,0,159.6,145,95,6
461,841,1,68.97,243,0,0
462,842,1,64.9,267,70,3
463,842,0,159.6,145,95,6
464,842,0,83.98,309,0,0
465,843,0,65.0,316,60,4
466,843,1,156.75,145,63,6
467,843,0,80.94,281,0,0
468,846,1,67.5,316,73,4
469,846,0,159.6,145,85,6
470,846,0,86.83,314,0,0
471,847,0,72.5,316,90,4
472,847,1,173.7,96,100,5
473,847,0,99.75,344,0,0
474,850,0,91.5,434,105,2
475,850,1,167.7,96,108,5
476,850,0,101.27,369,0,0
477,886,0,98.75,477,75,4
478,886,0,196.6,139,87,25
479,886,1,138.13,470,0,0
480,887,1,89.4,458,70,4
481,887,0,191.85,139,76,25
482,887,0,138.13,470,0,0
483,888,0,89.4,458,70,4
484,888,1,191.85,139,76,25
485,888,0,138.13,470,0,0
486,894,0,89.3,477,57,4
487,894,1,201.15,139,80,25
488,894,0,137.18,463,0,0
489,895,1,90.8,477,72,4
490,895,0,202.6,139,85,25
491,895,0,137.18,463,0,0
492,896,0,90.8,477,72,4
493,896,1,202.6,139,85,25
494,896,0,137.18,463,0,0
495,897,0,99.3,477,95,4
496,897,1,204.6,139,110,25
497,897,0,144.4,514,0,0
498,898,0,91.15,458,73,4
499,898,1,198.4,139,88,25
500,898,0,127.87,430,0,0
501,899,1,112.8,702,63,2
502,899,0,232.53,169,76,4
503,899,0,178.22,594,0,0
504,900,0,112.8,702,63,2
505,900,1,232.53,169,76,4
506,900,0,178.22,594,0,0
507,901,0,95.3,477,110,4
508,901,1,204.6,139,120,25
509,901,0,161.69,542,0,0
510,902,0,117.5,702,95,2
511,902,1,240.53,169,110,4
512,902,0,195.51,655,0,0
513,903,0,28.0,82,77,4
514,903,0,138.4,40,135,25
515,903,1,23.75,96,0,0
516,904,0,29.4,103,59,4
517,904,0,136.1,40,120,25
518,904,1,24.7,108,0,0
519,914,0,33.4,103,85,4
520,914,0,140.1,40,120,25
521,914,1,12.35,61,0,0
522,922,0,53.6,259,85,3
523,922,0,142.4,40,135,25
524,922,1,43.89,155,0,0
525,924,0,38.5,92,95,5
526,924,0,129.4,40,134,25
527,924,1,14.06,66,0,0
528,933,0,50.1,196,83,4
529,933,0,133.4,40,130,25
530,933,1,34.01,129,0,0
531,934,0,53.5,120,160,12
532,934,0,137.4,40,145,25
533,934,1,42.94,157,0,0
534,935,0,93.4,458,95,4
535,935,1,198.35,139,91,25
536,935,0,128.44,435,0,0
537,936,0,96.8,477,100,4
538,936,1,207.45,139,108,25
539,936,0,128.82,429,0,0
540,937,0,103.3,477,120,4
541,937,1,211.1,139,125,25
542,937,0,134.71,479,0,0
543,938,0,116.8,702,88,2
544,938,0,239.03,169,91,4
545,938,1,168.53,559,0,0
546,943,0,24.2,41,70,7
547,943,0,42.7,100,65,6
548,943,1,22.61,106,0,0
549,949,0,27.6,63,90,8
550,949,0,43.0,100,85,6
551,949,1,20.33,89,0,0
552,950,1,25.75,63,65,8
553,950,0,42.52,100,70,6
554,950,0,18.24,75,0,0
555,955,0,25.75,63,65,8
556,955,0,42.52,100,70,6
557,955,1,18.24,75,0,0
558,957,0,28.1,63,90,8
559,957,0,42.45,100,85,6
560,957,1,19.76,86,0,0
561,961,0,28.6,63,104,8
562,961,0,41.85,100,90,6
563,961,1,22.61,106,0,0
564,964,0,29.6,63,108,8
565,964,0,46.85,100,95,6
566,964,1,23.18,109,0,0
567,967,0,29.6,63,120,8
568,967,0,41.85,100,115,6
569,967,1,25.46,126,0,0
570,970,0,65.4,256,95,5
571,970,0,158.3,60,170,6
572,970,1,48.64,171,0,0
573,971,0,78.6,377,105,2
574,971,0,176.9,58,200,36
575,971,1,78.47,264,0,0
576,972,0,74.6,377,69,2
577,972,1,165.5,58,140,36
578,972,0,97.47,343,0,0
579,975,0,76.3,377,70,2
580,975,0,166.9,58,140,36
581,975,1,99.37,357,0,0
582,976,0,92.45,425,75,3
583,976,1,190.9,69,152,45
584,976,0,120.65,406,0,0
585,977,0,87.0,425,84,3
586,977,1,190.2,69,150,45
587,977,0,132.43,443,0,0
588,978,0,93.0,425,95,3
589,978,1,198.9,69,175,45
590,978,0,126.92,450,0,0
591,979,0,29.6,63,90,8
592,979,0,43.75,100,85,6
593,979,1,22.04,97,0,0
594,980,0,27.75,63,65,8
595,980,0,43.27,100,70,6
596,980,1,19.95,83,0,0
597,981,1,90.0,425,105,3
598,981,0,196.5,69,180,45
599,981,0,134.14,451,0,0
600,983,0,37.1,98,105,8
601,983,0,129.4,40,136,25
602,983,1,28.69,124,0,0
603,992,1,66.4,267,105,3
604,992,0,166.1,145,145,6
605,992,0,56.24,220,0,0
606,993,1,69.5,316,90,4
607,993,0,163.25,145,103,6
608,993,0,71.06,266,0,0
609,994,0,72.0,316,103,4
610,994,0,166.1,145,125,6
611,994,1,76.95,299,0,0
612,995,1,92.0,434,99,2
613,995,0,172.2,96,115,5
614,995,0,105.07,393,0,0
615,998,0,93.9,458,100,4
616,998,1,198.35,139,116,25
617,998,0,128.25,456,0,0
618,1000,0,105.8,477,175,4
619,1000,1,247.03,169,160,4
620,1000,0,155.99,556,0,0
621,1001,0,38.1,98,120,8
622,1001,0,129.4,40,141,25
623,1001,1,32.68,133,0,0
624,1004,0,93.0,434,114,2
625,1004,1,172.2,96,120,5
626,1004,0,102.98,361,0,0
627,1007,0,104.8,477,135,4
628,1007,0,211.1,139,150,25
629,1007,1,138.7,462,0,0
630,1017,0,32.6,92,89,4
631,1017,0,14.29,83,65,15
632,1017,1,21.47,95,0,0
633,1030,0,24.2,56,55,4
634,1030,0,13.44,83,60,15
635,1030,1,23.37,84,0,0
636,1033,0,27.6,92,90,4
637,1033,0,14.59,83,85,15
638,1033,1,19.19,78,0,0
639,1038,0,25.75,92,65,4
640,1038,0,14.11,83,70,15
641,1038,1,17.1,64,0,0
642,1051,0,28.1,92,90,4
643,1051,0,14.04,83,85,15
644,1051,1,18.62,75,0,0
645,1057,0,29.6,92,108,4
646,1057,0,18.44,83,95,15
647,1057,1,22.04,98,0,0
648,1058,0,29.6,92,120,4
649,1058,0,13.44,83,115,15
650,1058,1,27.55,109,0,0
651,1062,0,47.6,259,60,2
652,1062,0,159.3,60,150,6
653,1062,1,50.35,168,0,0
654,1063,1,57.9,319,60,3
655,1063,0,156.45,60,118,6
656,1063,0,62.32,206,0,0
657,1064,0,57.9,319,60,3
658,1064,0,156.45,60,118,6
659,1064,1,62.32,206,0,0
660,1067,1,75.4,496,69,2
661,1067,0,166.5,58,130,36
662,1067,0,96.33,332,0,0
663,1069,0,75.4,496,69,2
664,1069,1,166.5,58,130,36
665,1069,0,96.33,332,0,0
666,1078,0,83.1,468,70,3
667,1078,1,187.15,69,131,45
668,1078,0,119.51,395,0,0
669,1080,0,83.8,487,57,3
670,1080,1,196.45,69,135,45
671,1080,0,118.56,388,0,0
672,1082,1,87.3,487,75,3
673,1082,0,196.25,69,148,45
674,1082,0,119.89,390,0,0
675,1083,0,87.8,487,97,3
676,1083,0,199.9,69,165,45
677,1083,1,125.78,415,0,0
678,1090,0,33.6,92,91,4
679,1090,0,14.29,83,70,15
680,1090,1,22.23,100,0,0
681,1098,0,25.2,56,57,4
682,1098,0,13.44,83,65,15
683,1098,1,24.13,89,0,0
684,1099,0,28.6,92,92,4
685,1099,0,14.59,83,90,15
686,1099,1,19.95,84,0,0
687,1100,0,26.75,92,67,4
688,1100,0,14.11,83,75,15
689,1100,1,17.86,69,0,0
690,1106,0,28.6,92,68,4
691,1106,0,13.44,83,80,15
692,1106,1,18.81,76,0,0
693,1107,0,29.1,92,92,4
694,1107,0,14.04,83,90,15
695,1107,1,19.38,80,0,0
696,1113,0,30.6,92,110,4
697,1113,0,18.44,83,100,15
698,1113,1,22.8,104,0,0
699,1117,0,58.9,319,62,3
700,1117,0,151.45,60,123,6
701,1117,1,63.08,211,0,0
702,1118,0,66.4,319,92,3
703,1118,0,169.5,58,160,36
704,1118,1,81.89,275,0,0
705,1119,0,80.4,496,107,2
706,1119,1,172.9,58,185,36
707,1119,0,107.35,359,0,0
708,1120,0,76.4,496,71,2
709,1120,1,161.5,58,135,36
710,1120,0,97.09,338,0,0
711,1128,0,78.1,496,72,2
712,1128,0,162.9,58,135,36
713,1128,1,98.99,351,0,0
714,1129,0,84.1,468,72,3
715,1129,1,182.15,69,136,45
716,1129,0,120.27,401,0,0
717,1131,1,87.35,487,72,3
718,1131,0,184.9,69,140,45
719,1131,0,118.37,387,0,0
720,1133,0,34.6,92,102,4
721,1133,0,14.29,83,75,15
722,1133,1,23.75,105,0,0
723,1140,0,29.6,92,103,4
724,1140,0,14.59,83,95,15
725,1140,1,21.47,88,0,0
726,1148,0,27.75,92,78,4
727,1148,0,14.11,83,80,15
728,1148,1,19.38,74,0,0
729,1153,0,30.1,92,103,4
730,1153,0,14.04,83,95,15
731,1153,1,20.9,85,0,0
732,1158,0,30.6,92,117,4
733,1158,0,13.44,83,100,15
734,1158,1,23.75,105,0,0
735,1160,0,31.6,92,121,4
736,1160,0,18.44,83,105,15
737,1160,1,24.32,108,0,0
738,1161,0,30.6,92,103,4
739,1161,0,13.44,83,95,15
740,1161,1,24.32,108,0,0
741,1162,0,31.6,92,133,4
742,1162,0,13.44,83,125,15
743,1162,1,26.6,124,0,0
744,1165,0,59.9,319,73,3
745,1165,0,156.45,60,128,6
746,1165,1,64.6,216,0,0
747,1166,0,81.4,496,118,2
748,1166,0,177.9,58,190,36
749,1166,1,97.85,321,0,0
750,1167,1,79.4,496,93,2
751,1167,0,172.9,58,155,36
752,1167,0,92.53,316,0,0
753,1168,0,77.4,496,82,2
754,1168,1,166.5,58,140,36
755,1168,0,98.61,342,0,0
756,1173,0,85.1,468,83,3
757,1173,1,187.15,69,141,45
758,1173,0,121.79,405,0,0
759,1175,0,89.3,487,88,3
760,1175,1,196.25,69,158,45
761,1175,0,122.17,399,0,0
762,1177,0,31.2,71,84,4
763,1177,0,12.47,78,58,11
764,1177,1,18.62,106,0,0
765,1180,0,57.3,298,55,3
766,1180,0,154.15,60,113,6
767,1180,1,59.47,217,0,0
768,1181,0,59.8,298,68,3
769,1181,0,157.0,60,135,6
770,1181,1,65.36,250,0,0
771,1182,0,64.8,298,85,3
772,1182,1,172.2,58,150,36
773,1182,0,78.28,281,0,0
774,1183,0,75.7,475,80,2
775,1183,1,170.6,58,135,36
776,1183,0,86.26,333,0,0
777,1185,1,73.2,475,64,2
778,1185,0,164.2,58,125,36
779,1185,0,93.48,343,0,0
780,1189,0,73.2,475,64,2
781,1189,1,164.2,58,125,36
782,1189,0,93.48,343,0,0
783,1201,0,86.75,466,70,3
784,1201,1,184.85,69,126,45
785,1201,0,116.66,406,0,0
786,1204,0,84.95,466,65,3
787,1204,1,187.6,69,130,45
788,1204,0,114.76,393,0,0
789,1205,1,82.4,466,52,3
790,1205,0,194.15,69,130,45
791,1205,0,115.71,399,0,0
792,1208,0,76.2,475,79,2
793,1208,1,166.5,58,140,36
794,1208,0,103.55,364,0,0
795,1211,0,31.4,40,110,8
796,1211,0,9.51,62,90,8
797,1211,1,15.77,67,0,0
798,1212,0,31.4,40,86,8
799,1212,0,8.36,62,80,8
800,1212,1,14.63,60,0,0
801,1213,0,33.4,40,128,8
802,1213,0,13.36,62,100,8
803,1213,1,18.62,87,0,0
804,1214,0,78.4,367,89,3
805,1214,1,157.5,58,120,36
806,1214,0,92.91,321,0,0
807,1215,0,80.1,367,90,3
808,1215,1,158.9,58,120,36
809,1215,0,94.81,335,0,0
810,1216,0,84.0,394,95,3
811,1216,1,190.5,69,140,45
812,1216,0,116.09,384,0,0
813,1218,0,31.4,54,94,3
814,1218,1,9.56,62,65,8
815,1218,0,16.34,78,0,0
816,1220,0,26.4,54,95,3
817,1220,0,9.86,62,85,8
818,1220,1,14.06,62,0,0
819,1221,1,24.55,54,70,3
820,1221,0,9.38,62,70,8
821,1221,0,11.97,47,0,0
822,1222,0,24.55,54,70,3
823,1222,1,9.38,62,70,8
824,1222,0,11.97,47,0,0
825,1227,0,28.4,54,125,3
826,1227,0,8.71,62,115,8
827,1227,1,22.42,93,0,0
828,1228,0,28.4,54,113,3
829,1228,0,8.71,62,105,8
830,1228,1,19.38,74,0,0
831,1230,1,61.2,283,85,2
832,1230,0,146.3,60,144,6
833,1230,0,45.22,152,0,0
834,1231,0,61.2,283,85,2
835,1231,0,146.3,60,144,6
836,1231,1,45.22,152,0,0
837,1236,1,77.4,448,110,2
838,1236,0,164.9,58,184,36
839,1236,0,72.2,237,0,0
840,1237,0,64.2,283,95,2
841,1237,0,161.5,58,149,36
842,1237,1,76.0,253,0,0
843,1238,0,75.9,448,90,2
844,1238,1,159.9,58,134,36
845,1238,0,83.98,306,0,0
846,1239,0,75.4,448,85,2
847,1239,1,156.9,58,129,36
848,1239,0,84.74,309,0,0
849,1240,1,73.4,448,74,2
850,1240,0,153.5,58,124,36
851,1240,0,91.2,316,0,0
852,1241,0,73.4,448,74,2
853,1241,1,153.5,58,124,36
854,1241,0,91.2,316,0,0
855,1253,1,75.1,448,75,2
856,1253,0,154.9,58,124,36
