,case,choice,cost,ivt,ovt,freq
185,3026,1,30.78,111,0,0
186,3030,0,50.4,154,105,2
187,3030,1,32.3,135,0,0
188,3036,0,64.25,196,75,3
189,3036,1,69.16,237,0,0
190,3037,1,62.8,196,80,3
191,3037,0,69.16,237,0,0
192,3038,0,58.3,196,75,3
193,3038,1,69.54,231,0,0
194,3039,0,59.0,176,90,3
195,3039,1,63.84,219,0,0
196,3040,0,32.5,39,70,5
197,3040,1,26.98,113,0,0
198,3044,1,27.5,42,55,5
199,3044,0,15.01,57,0,0
200,3045,0,27.5,42,55,5
201,3045,1,15.01,57,0,0
202,3046,0,30.5,42,70,5
203,3046,1,18.81,74,0,0
204,3085,0,44.0,137,70,5
205,3085,1,57.19,199,0,0
206,3100,1,73.0,387,63,2
207,3100,0,97.28,324,0,0
208,3101,1,76.7,387,75,2
209,3101,0,101.84,343,0,0
210,3105,0,30.0,42,68,5
211,3105,1,25.27,121,0,0
212,3107,1,75.5,387,76,2
213,3107,0,105.45,380,0,0
214,3159,1,67.2,40,69,3
215,3159,0,18.24,89,0,0
216,3548,0,31.4,42,79,2
217,3548,1,21.28,88,0,0
218,3593,0,33.9,40,95,4
219,3593,1,22.61,108,0,0
220,3662,0,25.75,42,66,2
221,3662,1,16.72,73,0,0
222,3731,0,28.95,75,80,4
223,3731,1,17.29,74,0,0
224,3806,0,24.45,40,65,4
225,3806,1,8.74,39,0,0
226,4091,0,29.4,42,106,2
227,4091,1,29.64,107,0,0
228,4155,0,26.9,40,80,4
229,4155,1,12.16,54,0,0
230,4210,0,28.6,75,105,4
231,4210,1,24.89,91,0,0
232,4239,0,155.3,46,220,16
233,4239,1,5.51,34,0,0
234,4240,0,155.3,46,215,16
235,4240,1,28.5,134,0,0
236,4278,0,23.3,63,63,1
237,4278,1,20.33,86,0,0
238,4292,0,33.4,40,95,4
239,4292,1,5.7,33,0,0
240,4323,0,60.6,193,200,3
241,4323,1,61.37,278,0,0
242,4324,0,28.5,63,105,1
243,4324,1,28.5,134,0,0
