,choice,college,hsg2,coml5,type1,type2,type3,type4,type5,type6,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,price1,price2,price3,price4,price5,price6,speed1,speed2,speed3,speed4,speed5,speed6,pollution1,pollution2,pollution3,pollution4,pollution5,pollution6,size1,size2,size3,size4,size5,size6
12,choice2,1,1,0,truck,stwagon,truck,regcar,truck,van,methanol,methanol,electric,electric,gasoline,gasoline,3.323736,3.323736,3.7985554,3.7985554,2.6115068,2.6115068,85,85,85,85,95,95,0,0,0.25,0.25,0.5,0.5,3,3,1,1,2,2
13,choice5,1,0,0,sportcar,truck,sportcar,sportuv,sportcar,regcar,methanol,methanol,cng,cng,gasoline,gasoline,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,85,85,140,140,95,95,0,0,0.25,0.25,1,1,0,0,1,1,2,2
14,choice5,0,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,1.2847215,1.2847215,1.6059019,1.6059019,0.96354111,0.96354111,85,85,85,85,95,95,0,0,0.4,0.4,0.75,0.75,2,2,3,3,3,3
15,choice3,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,65,65,140,140,85,85,0,0,0.6,0.6,1,1,1,1,2,2,3,3
16,choice6,1,0,0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,100,100,85,85,110,110,0,0,0.1,0.1,0.75,0.75,3,3,1,1,2,2
17,choice3,1,1,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,8.4371306,8.4371306,5.4593198,5.4593198,7.444527,7.444527,65,65,110,110,85,85,0,0,0.4,0.4,0.25,0.25,3,3,3,3,2,2
18,choice2,0,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,1.0224889,1.0224889,1.1503,1.1503,1.2781111,1.2781111,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,3,3,3,3,2,2
19,choice3,1,1,0,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,3.3109468,3.3109468,3.586859,3.586859,4.1386835,4.1386835,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,3,3,3,3,2,2
20,choice5,1,0,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.3109468,3.3109468,4.1386835,4.1386835,4.4145957,4.4145957,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,3,3,1,1,2,2
21,choice5,0,1,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,5.9556216,5.9556216,7.444527,7.444527,7.9408288,7.9408288,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,2,2,3,3,1,1
22,choice6,1,0,0,sportuv,truck,sportuv,sportcar,sportuv,regcar,methanol,methanol,cng,cng,gasoline,gasoline,4.8568222,4.8568222,5.3680666,5.3680666,4.3455777,4.3455777,100,100,85,85,110,110,0,0,0.4,0.4,0.25,0.25,3,3,3,3,2,2
23,choice5,0,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.690508,4.690508,3.0350346,3.0350346,4.1386835,4.1386835,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,2,2,3,3
24,choice3,1,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.690508,4.690508,3.0350346,3.0350346,3.586859,3.586859,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,0,0,1,1,2,2
25,choice1,1,0,0,truck,regcar,truck,van,truck,stwagon,methanol,methanol,cng,cng,electric,electric,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,65,65,110,110,140,140,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
26,choice3,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,100,100,85,85,110,110,0,0,0.25,0.25,1,1,1,1,2,2,3,3
27,choice5,1,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.3927834,3.3927834,2.1953304,2.1953304,2.9936324,2.9936324,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,3,3,2,2,3,3
28,choice5,0,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,0.96354111,0.96354111,1.1241313,1.1241313,1.4453117,1.4453117,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,3,3,3,3,2,2
29,choice1,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,6.6218936,6.6218936,4.690508,4.690508,5.7941569,5.7941569,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,3,3,1,1,2,2
30,choice3,1,0,0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,3.9704144,3.9704144,4.4667162,4.4667162,2.9778108,2.9778108,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,1,1,2,2
31,choice5,1,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,7.0659681,7.0659681,7.3871485,7.3871485,6.102427,6.102427,55,55,95,95,140,140,0,0,0.6,0.6,0.5,0.5,3,3,2,2,3,3
32,choice5,0,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.7871011,3.7871011,2.7772075,2.7772075,3.2821543,3.2821543,100,100,95,95,110,110,0,0,0.4,0.4,0.75,0.75,2,2,3,3,3,3
33,choice3,1,1,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,65,65,140,140,85,85,0,0,0.4,0.4,0.75,0.75,2,2,3,3,3,3
34,choice2,1,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,2,2,3,3,3,3
35,choice5,1,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,2.8118444,2.8118444,3.3230888,3.3230888,3.8343333,3.8343333,85,85,95,95,110,110,0.4,0.4,0.75,0.75,0.25,0.25,3,3,3,3,2,2
36,choice3,1,1,1,sportuv,regcar,sportuv,truck,sportuv,sportcar,methanol,methanol,cng,cng,electric,electric,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,2,2,3,3,1,1
37,choice3,1,0,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,55,55,110,110,140,140,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2
38,choice5,0,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,1.9270822,1.9270822,2.2482626,2.2482626,2.8906233,2.8906233,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
39,choice3,0,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,3,3,3,3,2,2
40,choice1,0,1,1,truck,regcar,truck,van,truck,stwagon,methanol,methanol,cng,cng,electric,electric,7.7083289,7.7083289,5.4600663,5.4600663,6.102427,6.102427,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,1,1,2,2,3,3
41,choice3,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.0296809,3.0296809,3.2821543,3.2821543,4.0395745,4.0395745,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,3,3,2,2,3,3
42,choice4,1,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,1.3795612,1.3795612,0.8277367,0.8277367,0.96569282,0.96569282,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,2,2,3,3,1,1
43,choice1,0,1,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,3,3,3,3,2,2
44,choice5,0,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.5346277,3.5346277,3.7871011,3.7871011,2.7772075,2.7772075,100,100,85,85,110,110,0,0,0.4,0.4,0.25,0.25,2,2,3,3,1,1
45,choice3,1,0,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.5787111,3.5787111,4.0899555,4.0899555,2.8118444,2.8118444,85,85,85,85,95,95,0,0,0.4,0.4,0.75,0.75,2,2,3,3,3,3
46,choice5,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,65,65,140,140,85,85,0,0,0.6,0.6,1,1,0,0,1,1,2,2
47,choice6,1,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,2.8906233,2.8906233,3.2118037,3.2118037,1.9270822,1.9270822,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,3,3,3,3,2,2
48,choice4,1,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.0899555,4.0899555,2.8118444,2.8118444,3.3230888,3.3230888,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,3,3,3,3,2,2
49,choice5,0,1,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.3455777,4.3455777,2.8118444,2.8118444,3.3230888,3.3230888,85,85,140,140,85,85,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
50,choice5,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,2.9778108,2.9778108,1.4889054,1.4889054,2.2333581,2.2333581,55,55,95,95,140,140,0,0,0.25,0.25,1,1,1,1,2,2,3,3
51,choice3,0,1,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.9704144,3.9704144,4.963018,4.963018,2.9778108,2.9778108,100,100,95,95,110,110,0,0,0.4,0.4,0.75,0.75,2,2,3,3,3,3
52,choice3,0,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,3,3,3,3,2,2
53,choice1,1,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.2920479,4.2920479,2.7772075,2.7772075,3.2821543,3.2821543,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,1,1,2,2,3,3
54,choice2,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,85,85,85,85,95,95,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2
55,choice2,1,0,0,sportcar,regcar,sportcar,truck,sportcar,sportuv,cng,cng,electric,electric,gasoline,gasoline,3.7871011,3.7871011,4.0395745,4.0395745,2.7772075,2.7772075,85,85,95,95,110,110,0.6,0.6,0.25,0.25,0.5,0.5,2,2,0,0,3,3
56,choice5,1,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,8.4371306,8.4371306,5.4593198,5.4593198,6.4519234,6.4519234,85,85,140,140,85,85,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
57,choice3,1,1,1,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,1.2781111,1.2781111,1.2781111,1.2781111,0.76686666,0.76686666,55,55,95,95,110,110,0,0,0.6,0.6,0.25,0.25,3,3,3,3,2,2
58,choice3,0,1,0,van,regcar,van,stwagon,van,truck,cng,cng,electric,electric,gasoline,gasoline,3.3230888,3.3230888,3.8343333,3.8343333,4.0899555,4.0899555,140,140,85,85,95,95,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
59,choice6,0,1,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.8627713,3.8627713,4.1386835,4.1386835,3.0350346,3.0350346,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,2,2,3,3,1,1
60,choice3,1,1,1,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,2.5247341,2.5247341,2.5247341,2.5247341,1.5148404,1.5148404,65,65,110,110,140,140,0,0,0.6,0.6,0.25,0.25,3,3,3,3,2,2
61,choice1,0,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,1.9852072,1.9852072,2.2333581,2.2333581,1.4889054,1.4889054,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,1,1,2,2
62,choice4,1,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,1.1036489,1.1036489,1.241605,1.241605,1.3795612,1.3795612,55,55,95,95,110,110,0,0,0.6,0.6,0.25,0.25,1,1,2,2,0,0
63,choice6,1,1,0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,3,3,1,1,2,2
64,choice5,1,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.690508,4.690508,5.2423324,5.2423324,5.7941569,5.7941569,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
65,choice5,1,0,0,truck,regcar,truck,van,truck,stwagon,methanol,methanol,cng,cng,electric,electric,4.4965252,4.4965252,4.8177056,4.8177056,5.1388859,5.1388859,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,2,2,3,3,3,3
66,choice3,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2
67,choice6,1,1,0,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,6.6218936,6.6218936,4.690508,4.690508,5.2423324,5.2423324,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,3,3,3,3,2,2
68,choice6,0,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.7871011,3.7871011,4.0395745,4.0395745,3.2821543,3.2821543,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,3,3,2,2,3,3
69,choice5,0,1,0,sportuv,truck,sportuv,sportcar,sportuv,regcar,methanol,methanol,cng,cng,gasoline,gasoline,4.2920479,4.2920479,2.7772075,2.7772075,3.7871011,3.7871011,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,1,1,2,2
70,choice5,1,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,5.2230137,5.2230137,5.4604234,5.4604234,4.5107845,4.5107845,85,85,140,140,95,95,0,0,0.25,0.25,1,1,2,2,3,3,3,3
71,choice5,1,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
72,choice5,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,5.3671598,5.3671598,4.2490015,4.2490015,4.6962648,4.6962648,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,3,3,1,1,2,2
73,choice5,0,1,0,sportuv,regcar,sportuv,truck,sportuv,sportcar,cng,cng,electric,electric,gasoline,gasoline,3.7919343,3.7919343,4.1910853,4.1910853,4.5902363,4.5902363,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,3,3,3,3,2,2
74,choice6,1,0,0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,3.8343333,3.8343333,4.0899555,4.0899555,3.3230888,3.3230888,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,2,2,3,3
75,choice1,0,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,95,95,110,110,140,140,0.25,0.25,0.6,0.6,1,1,2,2,3,3,1,1
76,choice5,1,1,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.4965252,4.4965252,5.1388859,5.1388859,3.5329841,3.5329841,85,85,85,85,95,95,0,0,0.25,0.25,0.5,0.5,3,3,2,2,3,3
77,choice5,1,0,0,sportcar,truck,sportcar,sportuv,sportcar,regcar,methanol,methanol,cng,cng,gasoline,gasoline,5.9352428,5.9352428,6.6474719,6.6474719,8.3093399,8.3093399,100,100,85,85,110,110,0,0,0.25,0.25,1,1,0,0,1,1,2,2
78,choice3,1,0,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,10.91864,10.91864,8.4371306,8.4371306,9.4297342,9.4297342,55,55,110,110,140,140,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2
79,choice1,1,1,1,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,6.0593618,6.0593618,4.2920479,4.2920479,4.7969948,4.7969948,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,2,2,3,3,3,3
80,choice5,1,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,3.0296809,3.0296809,3.2821543,3.2821543,3.7871011,3.7871011,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
81,choice5,0,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.5787111,3.5787111,3.8343333,3.8343333,2.8118444,2.8118444,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,2,2,3,3,1,1
82,choice5,1,0,1,truck,stwagon,truck,regcar,truck,van,methanol,methanol,electric,electric,gasoline,gasoline,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,3,3,1,1,2,2
83,choice5,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,65,65,110,110,85,85,0,0,0.4,0.4,0.25,0.25,3,3,3,3,2,2
84,choice5,1,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,3,3,1,1,2,2
85,choice5,1,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,2,2,3,3,1,1
86,choice4,1,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,8.0791491,8.0791491,8.8365693,8.8365693,6.3118352,6.3118352,95,95,110,110,140,140,0.25,0.25,0.6,0.6,1,1,3,3,3,3,2,2
87,choice4,1,1,1,truck,stwagon,truck,regcar,truck,van,methanol,methanol,electric,electric,gasoline,gasoline,5.554415,5.554415,4.2920479,4.2920479,4.7969948,4.7969948,100,100,95,95,110,110,0,0,0.6,0.6,1,1,2,2,3,3,3,3
88,choice4,0,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,5.4600663,5.4600663,4.1753448,4.1753448,4.8177056,4.8177056,85,85,85,85,95,95,0,0,0.25,0.25,0.5,0.5,3,3,2,2,3,3
89,choice5,1,0,0,van,regcar,van,stwagon,van,truck,cng,cng,electric,electric,gasoline,gasoline,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,3,3,3,3,2,2
90,choice3,1,1,0,van,regcar,van,stwagon,van,truck,cng,cng,electric,electric,gasoline,gasoline,5.2423324,5.2423324,5.7941569,5.7941569,6.3459814,6.3459814,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
91,choice6,1,1,0,van,regcar,van,stwagon,van,truck,cng,cng,electric,electric,gasoline,gasoline,5.4604234,5.4604234,4.0359651,4.0359651,4.5107845,4.5107845,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
92,choice5,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,5.2423324,5.2423324,6.3459814,6.3459814,4.690508,4.690508,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,3,3,2,2,3,3
93,choice4,0,1,1,sportuv,truck,sportuv,sportcar,sportuv,regcar,methanol,methanol,cng,cng,gasoline,gasoline,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,85,85,140,140,95,95,0,0,0.6,0.6,0.5,0.5,3,3,2,2,3,3
94,choice5,0,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3
95,choice4,0,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,1.9313856,1.9313856,2.4832101,2.4832101,2.7591223,2.7591223,85,85,95,95,110,110,0.6,0.6,0.25,0.25,0.5,0.5,3,3,2,2,3,3
96,choice3,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.690508,4.690508,5.2423324,5.2423324,6.3459814,6.3459814,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,3,3,2,2,3,3
97,choice5,1,1,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.7871011,3.7871011,4.0395745,4.0395745,3.2821543,3.2821543,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,3,3,2,2,3,3
98,choice6,1,0,0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,3.7871011,3.7871011,4.0395745,4.0395745,2.7772075,2.7772075,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3
99,choice5,0,0,1,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,3.0674666,3.0674666,3.3230888,3.3230888,3.8343333,3.8343333,85,85,140,140,85,85,0,0,0.6,0.6,0.25,0.25,3,3,3,3,2,2
100,choice3,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.4965252,4.4965252,4.8177056,4.8177056,3.5329841,3.5329841,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,3,3,2,2,3,3
