"","age","hours","platform","ch","own","chid"
"338",18,0,"GameCube",6,0,57
"339",18,0,"PC",1,1,57
"340",18,0,"PlayStation",2,0,57
"341",18,0,"PSPortable",4,0,57
"342",18,0,"Xbox",3,0,57
"343",20,2,"GameBoy",5,0,58
"344",20,2,"GameCube",6,0,58
"345",20,2,"PC",1,1,58
"346",20,2,"PlayStation",3,0,58
"347",20,2,"PSPortable",4,0,58
"348",20,2,"Xbox",2,0,58
"349",24,0,"GameBoy",5,0,59
"350",24,0,"GameCube",6,0,59
"351",24,0,"PC",1,1,59
"352",24,0,"PlayStation",4,0,59
"353",24,0,"PSPortable",3,0,59
"354",24,0,"Xbox",2,0,59
"355",25,0,"GameBoy",5,0,60
"356",25,0,"GameCube",6,0,60
"357",25,0,"PC",1,1,60
"358",25,0,"PlayStation",4,0,60
"359",25,0,"PSPortable",3,0,60
"360",25,0,"Xbox",2,0,60
"361",21,1,"GameBoy",2,1,61
"362",21,1,"GameCube",5,1,61
"363",21,1,"PC",6,1,61
"364",21,1,"PlayStation",4,1,61
"365",21,1,"PSPortable",1,1,61
"366",21,1,"Xbox",3,0,61
"367",22,0.5,"GameBoy",3,0,62
"368",22,0.5,"GameCube",2,0,62
"369",22,0.5,"PC",1,1,62
"370",22,0.5,"PlayStation",4,0,62
"371",22,0.5,"PSPortable",6,0,62
"372",22,0.5,"Xbox",5,0,62
"373",21,1,"GameBoy",5,0,63
"374",21,1,"GameCube",4,0,63
"375",21,1,"PC",2,1,63
"376",21,1,"PlayStation",6,0,63
"377",21,1,"PSPortable",3,0,63
"378",21,1,"Xbox",1,0,63
"379",19,8,"GameBoy",5,0,64
"380",19,8,"GameCube",4,1,64
"381",19,8,"PC",1,1,64
"382",19,8,"PlayStation",3,0,64
"383",19,8,"PSPortable",6,0,64
"384",19,8,"Xbox",2,0,64
"385",20,15,"GameBoy",6,0,65
"386",20,15,"GameCube",5,0,65
"387",20,15,"PC",1,1,65
"388",20,15,"PlayStation",2,0,65
"389",20,15,"PSPortable",4,0,65
"390",20,15,"Xbox",3,0,65
"391",20,0,"GameBoy",5,0,66
"392",20,0,"GameCube",2,0,66
"393",20,0,"PC",6,1,66
"394",20,0,"PlayStation",4,0,66
"395",20,0,"PSPortable",3,0,66
"396",20,0,"Xbox",1,0,66
"397",20,0,"GameBoy",3,0,67
"398",20,0,"GameCube",1,0,67
"399",20,0,"PC",4,1,67
"400",20,0,"PlayStation",6,0,67
"401",20,0,"PSPortable",2,0,67
"402",20,0,"Xbox",5,0,67
"403",20,5,"GameBoy",5,0,68
"404",20,5,"GameCube",6,0,68
"405",20,5,"PC",2,1,68
"406",20,5,"PlayStation",1,1,68
"407",20,5,"PSPortable",4,0,68
"408",20,5,"Xbox",3,0,68
"409",21,1,"GameBoy",5,0,69
"410",21,1,"GameCube",6,0,69
"411",21,1,"PC",3,1,69
"412",21,1,"PlayStation",2,0,69
"413",21,1,"PSPortable",4,0,69
"414",21,1,"Xbox",1,0,69
"415",22,0.5,"GameBoy",6,0,70
"416",22,0.5,"GameCube",5,0,70
"417",22,0.5,"PC",1,1,70
"418",22,0.5,"PlayStation",3,0,70
"419",22,0.5,"PSPortable",4,0,70
"420",22,0.5,"Xbox",2,0,70
"421",22,8,"GameBoy",4,0,71
"422",22,8,"GameCube",2,1,71
"423",22,8,"PC",5,0,71
"424",22,8,"PlayStation",3,0,71
"425",22,8,"PSPortable",6,0,71
"426",22,8,"Xbox",1,1,71
"427",19,1,"GameBoy",4,0,72
"428",19,1,"GameCube",5,1,72
"429",19,1,"PC",2,1,72
"430",19,1,"PlayStation",1,1,72
"431",19,1,"PSPortable",6,0,72
"432",19,1,"Xbox",3,0,72
"433",20,0,"GameBoy",4,0,73
"434",20,0,"GameCube",3,0,73
"435",20,0,"PC",6,1,73
"436",20,0,"PlayStation",2,0,73
"437",20,0,"PSPortable",5,0,73
"438",20,0,"Xbox",1,0,73
"439",22,15,"GameBoy",6,0,74
"440",22,15,"GameCube",4,0,74
"441",22,15,"PC",2,1,74
"442",22,15,"PlayStation",1,0,74
"443",22,15,"PSPortable",5,0,74
"444",22,15,"Xbox",3,0,74
"445",22,0,"GameBoy",5,0,75
"446",22,0,"GameCube",3,0,75
"447",22,0,"PC",6,1,75
"448",22,0,"PlayStation",1,0,75
"449",22,0,"PSPortable",4,0,75
"450",22,0,"Xbox",2,0,75
"451",25,4,"GameBoy",6,0,76
"452",25,4,"GameCube",5,0,76
"453",25,4,"PC",3,0,76
"454",25,4,"PlayStation",1,1,76
"455",25,4,"PSPortable",4,0,76
"456",25,4,"Xbox",2,0,76
"457",21,1,"GameBoy",6,0,77
"458",21,1,"GameCube",4,0,77
"459",21,1,"PC",1,1,77
"460",21,1,"PlayStation",3,0,77
"461",21,1,"PSPortable",5,0,77
"462",21,1,"Xbox",2,0,77
"463",25,28,"GameBoy",5,0,78
"464",25,28,"GameCube",4,0,78
"465",25,28,"PC",1,1,78
"466",25,28,"PlayStation",3,1,78
"467",25,28,"PSPortable",6,0,78
"468",25,28,"Xbox",2,1,78
"469",19,1,"GameBoy",5,0,79
"470",19,1,"GameCube",6,0,79
"471",19,1,"PC",4,1,79
"472",19,1,"PlayStation",1,0,79
"473",19,1,"PSPortable",3,0,79
"474",19,1,"Xbox",2,0,79
"475",22,15,"GameBoy",4,0,80
"476",22,15,"GameCube",6,0,80
"477",22,15,"PC",1,1,80
"478",22,15,"PlayStation",2,1,80
"479",22,15,"PSPortable",3,0,80
"480",22,15,"Xbox",5,0,80
"481",21,10,"GameBoy",4,1,81
"482",21,10,"GameCube",2,1,81
"483",21,10,"PC",1,1,81
"484",21,10,"PlayStation",3,1,81
"485",21,10,"PSPortable",5,0,81
"486",21,10,"Xbox",6,1,81
"487",19,1,"GameBoy",4,0,82
"488",19,1,"GameCube",3,0,82
"489",19,1,"PC",1,1,82
"490",19,1,"PlayStation",6,0,82
"491",19,1,"PSPortable",2,0,82
"492",19,1,"Xbox",5,0,82
"493",27,2,"GameBoy",5,0,83
"494",27,2,"GameCube",6,1,83
"495",27,2,"PC",2,0,83
"496",27,2,"PlayStation",3,0,83
"497",27,2,"PSPortable",1,0,83
"498",27,2,"Xbox",4,0,83
"499",23,2,"GameBoy",3,0,84
"500",23,2,"GameCube",2,1,84
"501",23,2,"PC",1,1,84
"502",23,2,"PlayStation",5,1,84
"503",23,2,"PSPortable",6,0,84
"504",23,2,"Xbox",4,0,84
"505",25,10,"GameBoy",6,0,85
"506",25,10,"GameCube",4,0,85
"507",25,10,"PC",1,1,85
"508",25,10,"PlayStation",2,0,85
"509",25,10,"PSPortable",5,0,85
"510",25,10,"Xbox",3,0,85
"511",20,8,"GameBoy",6,0,86
"512",20,8,"GameCube",4,0,86
"513",20,8,"PC",1,1,86
"514",20,8,"PlayStation",3,0,86
"515",20,8,"PSPortable",5,0,86
"516",20,8,"Xbox",2,0,86
"517",20,10,"GameBoy",2,0,87
"518",20,10,"GameCube",6,0,87
"519",20,10,"PC",4,1,87
"520",20,10,"PlayStation",3,0,87
"521",20,10,"PSPortable",5,0,87
"522",20,10,"Xbox",1,1,87
"523",20,10,"GameBoy",5,0,88
"524",20,10,"GameCube",6,0,88
"525",20,10,"PC",1,1,88
"526",20,10,"PlayStation",2,0,88
"527",20,10,"PSPortable",4,0,88
"528",20,10,"Xbox",3,0,88
"529",22,0,"GameBoy",3,0,89
"530",22,0,"GameCube",4,0,89
"531",22,0,"PC",1,1,89
"532",22,0,"PlayStation",2,0,89
"533",22,0,"PSPortable",6,0,89
"534",22,0,"Xbox",5,0,89
"535",23,0,"GameBoy",6,0,90
"536",23,0,"GameCube",4,0,90
"537",23,0,"PC",1,0,90
"538",23,0,"PlayStation",3,0,90
"539",23,0,"PSPortable",2,0,90
"540",23,0,"Xbox",5,0,90
"541",21,3,"GameBoy",6,0,91
"542",21,3,"GameCube",5,0,91
"543",21,3,"PC",2,1,91
"544",21,3,"PlayStation",1,1,91
"545",21,3,"PSPortable",3,0,91
"546",21,3,"Xbox",4,0,91
